,,,,,,,Daily Price Arrival Report-03-06-2026 to 03-06-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Parner APMC,Vegetables,Onion,Unhali,Local,300.00,"2,000.00","1,200.00",Rs./Quintal,"1,240.60",Metric Tonnes,03-06-2026
Maharashtra,Akola,Akola APMC,Vegetables,Onion,Other,Local,400.00,"1,400.00",800.00,Rs./Quintal,28.50,Metric Tonnes,03-06-2026
Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Vegetables,Onion,Other,Local,"1,600.00","2,100.00","1,900.00",Rs./Quintal,79.00,Metric Tonnes,03-06-2026
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Vegetables,Onion,Other,Local,500.00,"1,400.00",950.00,Rs./Quintal,321.00,Metric Tonnes,03-06-2026
Maharashtra,Dhule,Dhule APMC,Vegetables,Onion,Red,Local,500.00,"1,400.00","1,050.00",Rs./Quintal,31.00,Metric Tonnes,03-06-2026
Maharashtra,Jalgaon,Bhusaval APMC,Vegetables,Onion,Unhali,Local,500.00,"1,000.00",800.00,Rs./Quintal,2.20,Metric Tonnes,03-06-2026
Maharashtra,Kolhapur,Kolhapur APMC,Vegetables,Onion,Other,Local,500.00,"2,300.00","1,200.00",Rs./Quintal,300.40,Metric Tonnes,03-06-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Onion,Other,Local,"1,000.00","1,900.00","1,450.00",Rs./Quintal,974.80,Metric Tonnes,03-06-2026
Maharashtra,Nagpur,Hingna APMC,Vegetables,Onion,Red,Local,800.00,"1,600.00","1,160.00",Rs./Quintal,3.90,Metric Tonnes,03-06-2026
Maharashtra,Nagpur,Kamthi APMC,Vegetables,Onion,Local,Local,"1,520.00","2,020.00","1,770.00",Rs./Quintal,0.60,Metric Tonnes,03-06-2026
Maharashtra,Nagpur,Nagpur APMC,Vegetables,Onion,Red,Local,"1,000.00","1,600.00","1,450.00",Rs./Quintal,210.00,Metric Tonnes,03-06-2026
Maharashtra,Nagpur,Nagpur APMC,Vegetables,Onion,White,Local,"1,600.00","2,000.00","1,900.00",Rs./Quintal,210.00,Metric Tonnes,03-06-2026
Maharashtra,Nashik,Chandvad APMC,Vegetables,Onion,Unhali,Local,100.00,"1,990.00","1,500.00",Rs./Quintal,"1,300.00",Metric Tonnes,03-06-2026
Maharashtra,Nashik,Devala APMC,Vegetables,Onion,Unhali,Local,500.00,"1,755.00","1,350.00",Rs./Quintal,779.00,Metric Tonnes,03-06-2026
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Vegetables,Onion,Unhali,Local,500.00,"1,700.00","1,400.00",Rs./Quintal,550.00,Metric Tonnes,03-06-2026
Maharashtra,Nashik,Manmad APMC,Vegetables,Onion,Unhali,Local,200.00,"1,500.00","1,200.00",Rs./Quintal,300.00,Metric Tonnes,03-06-2026
Maharashtra,Nashik,Pimpalgaon APMC,Vegetables,Onion,Unhali,Local,400.00,"2,600.00","1,700.00",Rs./Quintal,"2,755.10",Metric Tonnes,03-06-2026
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda) APMC,Vegetables,Onion,Unhali,Local,580.00,"1,575.00","1,240.00",Rs./Quintal,247.50,Metric Tonnes,03-06-2026
Maharashtra,Nashik,Yeola APMC,Vegetables,Onion,Unhali,Local,250.00,"1,545.00","1,200.00",Rs./Quintal,"1,000.00",Metric Tonnes,03-06-2026
Maharashtra,Pune,Khed(Chakan) APMC,Vegetables,Onion,Other,Local,"1,000.00","1,700.00","1,300.00",Rs./Quintal,100.00,Metric Tonnes,03-06-2026
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,500.00,"1,900.00","1,200.00",Rs./Quintal,990.90,Metric Tonnes,03-06-2026
Maharashtra,Pune,Pune(Pimpri) APMC,Vegetables,Onion,Local,Local,800.00,"1,500.00","1,150.00",Rs./Quintal,1.30,Metric Tonnes,03-06-2026
Maharashtra,Sangli,"Sangli(Phale, Bhajipala Market) APMC",Vegetables,Onion,Local,Local,500.00,"2,050.00","1,275.00",Rs./Quintal,408.00,Metric Tonnes,03-06-2026
Maharashtra,Satara,Karad APMC,Vegetables,Onion,Halva,Local,500.00,"2,000.00","2,000.00",Rs./Quintal,15.00,Metric Tonnes,03-06-2026
Maharashtra,Satara,Vaduj APMC,Vegetables,Onion,Local,Local,500.00,"2,200.00","1,500.00",Rs./Quintal,7.00,Metric Tonnes,03-06-2026
Maharashtra,Satara,Vai APMC,Vegetables,Onion,Local,Local,700.00,"1,700.00","1,200.00",Rs./Quintal,2.00,Metric Tonnes,03-06-2026
Maharashtra,Solapur,Mangal Wedha APMC,Vegetables,Onion,Local,Local,400.00,"1,640.00","1,400.00",Rs./Quintal,15.10,Metric Tonnes,03-06-2026

